month,policeprecinct,requesttype,n
2020-09,SOUTHWEST,Homeless Encampment,129
2020-09,SOUTHWEST,Illegal Dumping Pickup,909
2020-09,SOUTHWEST,Metal/Household Appliances,718
2020-09,SOUTHWEST,Multiple Streetlight Issue,21
2020-09,SOUTHWEST,Single Streetlight Issue,35
2020-09,TOPANGA,Bulky Items,3204
2020-09,TOPANGA,Dead Animal Removal,159
2020-09,TOPANGA,Electronic Waste,204
2020-09,TOPANGA,Graffiti Removal,521
2020-09,TOPANGA,Homeless Encampment,258
2020-09,TOPANGA,Illegal Dumping Pickup,352
2020-09,TOPANGA,Metal/Household Appliances,729
2020-09,TOPANGA,Multiple Streetlight Issue,61
2020-09,TOPANGA,Single Streetlight Issue,63
2020-09,VAN NUYS,Bulky Items,3405
2020-09,VAN NUYS,Dead Animal Removal,114
2020-09,VAN NUYS,Electronic Waste,165
2020-09,VAN NUYS,Graffiti Removal,767
2020-09,VAN NUYS,Homeless Encampment,186
2020-09,VAN NUYS,Illegal Dumping Pickup,354
2020-09,VAN NUYS,Metal/Household Appliances,488
2020-09,VAN NUYS,Multiple Streetlight Issue,21
2020-09,VAN NUYS,Single Streetlight Issue,19
2020-09,WEST LOS ANGELES,Bulky Items,3091
2020-09,WEST LOS ANGELES,Dead Animal Removal,102
2020-09,WEST LOS ANGELES,Electronic Waste,186
2020-09,WEST LOS ANGELES,Graffiti Removal,604
2020-09,WEST LOS ANGELES,Homeless Encampment,189
2020-09,WEST LOS ANGELES,Illegal Dumping Pickup,344
2020-09,WEST LOS ANGELES,Metal/Household Appliances,665
2020-09,WEST LOS ANGELES,Multiple Streetlight Issue,16
2020-09,WEST LOS ANGELES,Single Streetlight Issue,41
2020-09,WEST VALLEY,Bulky Items,3434
2020-09,WEST VALLEY,Dead Animal Removal,128
2020-09,WEST VALLEY,Electronic Waste,205
2020-09,WEST VALLEY,Graffiti Removal,999
2020-09,WEST VALLEY,Homeless Encampment,103
2020-09,WEST VALLEY,Illegal Dumping Pickup,578
2020-09,WEST VALLEY,Metal/Household Appliances,683
2020-09,WEST VALLEY,Multiple Streetlight Issue,17
2020-09,WEST VALLEY,Single Streetlight Issue,21
2020-09,WILSHIRE,Bulky Items,3043
2020-09,WILSHIRE,Dead Animal Removal,83
2020-09,WILSHIRE,Electronic Waste,180
2020-09,WILSHIRE,Graffiti Removal,920
2020-09,WILSHIRE,Homeless Encampment,298
2020-09,WILSHIRE,Illegal Dumping Pickup,422
2020-09,WILSHIRE,Metal/Household Appliances,596
2020-09,WILSHIRE,Multiple Streetlight Issue,36
2020-09,WILSHIRE,Single Streetlight Issue,29
2020-10,77TH STREET,Bulky Items,3850
2020-10,77TH STREET,Dead Animal Removal,175
2020-10,77TH STREET,Electronic Waste,246
2020-10,77TH STREET,Graffiti Removal,3418
2020-10,77TH STREET,Homeless Encampment,181
2020-10,77TH STREET,Illegal Dumping Pickup,1372
2020-10,77TH STREET,Metal/Household Appliances,708
2020-10,77TH STREET,Multiple Streetlight Issue,43
2020-10,77TH STREET,Single Streetlight Issue,46
2020-10,CENTRAL,Bulky Items,411
2020-10,CENTRAL,Dead Animal Removal,16
2020-10,CENTRAL,Electronic Waste,18
2020-10,CENTRAL,Graffiti Removal,1669
2020-10,CENTRAL,Homeless Encampment,97
2020-10,CENTRAL,Illegal Dumping Pickup,212
2020-10,CENTRAL,Metal/Household Appliances,52
2020-10,CENTRAL,Multiple Streetlight Issue,14
2020-10,CENTRAL,Single Streetlight Issue,46
2020-10,DEVONSHIRE,Bulky Items,3897
2020-10,DEVONSHIRE,Dead Animal Removal,187
2020-10,DEVONSHIRE,Electronic Waste,226
2020-10,DEVONSHIRE,Graffiti Removal,569
2020-10,DEVONSHIRE,Homeless Encampment,131
2020-10,DEVONSHIRE,Illegal Dumping Pickup,366
2020-10,DEVONSHIRE,Metal/Household Appliances,865
2020-10,DEVONSHIRE,Multiple Streetlight Issue,154
2020-10,DEVONSHIRE,Single Streetlight Issue,87
2020-10,FOOTHILL,Bulky Items,3684
2020-10,FOOTHILL,Dead Animal Removal,98
2020-10,FOOTHILL,Electronic Waste,224
2020-10,FOOTHILL,Graffiti Removal,1024
2020-10,FOOTHILL,Homeless Encampment,271
2020-10,FOOTHILL,Illegal Dumping Pickup,936
2020-10,FOOTHILL,Metal/Household Appliances,689
2020-10,FOOTHILL,Multiple Streetlight Issue,33
2020-10,FOOTHILL,Single Streetlight Issue,32
2020-10,HARBOR,Bulky Items,3036
2020-10,HARBOR,Dead Animal Removal,117
2020-10,HARBOR,Electronic Waste,194
2020-10,HARBOR,Graffiti Removal,1674
2020-10,HARBOR,Homeless Encampment,80
2020-10,HARBOR,Illegal Dumping Pickup,366
2020-10,HARBOR,Metal/Household Appliances,733
2020-10,HARBOR,Multiple Streetlight Issue,14
2020-10,HARBOR,Single Streetlight Issue,22
2020-10,HOLLENBECK,Bulky Items,2564
2020-10,HOLLENBECK,Dead Animal Removal,100
2020-10,HOLLENBECK,Electronic Waste,163
2020-10,HOLLENBECK,Graffiti Removal,1957
2020-10,HOLLENBECK,Homeless Encampment,135
2020-10,HOLLENBECK,Illegal Dumping Pickup,524
2020-10,HOLLENBECK,Metal/Household Appliances,377
2020-10,HOLLENBECK,Multiple Streetlight Issue,14
2020-10,HOLLENBECK,Single Streetlight Issue,23
2020-10,HOLLYWOOD,Bulky Items,2062
2020-10,HOLLYWOOD,Dead Animal Removal,49
2020-10,HOLLYWOOD,Electronic Waste,99
2020-10,HOLLYWOOD,Graffiti Removal,1093
2020-10,HOLLYWOOD,Homeless Encampment,245
2020-10,HOLLYWOOD,Illegal Dumping Pickup,253
2020-10,HOLLYWOOD,Metal/Household Appliances,351
2020-10,HOLLYWOOD,Multiple Streetlight Issue,23
2020-10,HOLLYWOOD,Single Streetlight Issue,47
2020-10,MISSION,Bulky Items,3960
2020-10,MISSION,Dead Animal Removal,124
2020-10,MISSION,Electronic Waste,284
2020-10,MISSION,Graffiti Removal,1629
2020-10,MISSION,Homeless Encampment,282
2020-10,MISSION,Illegal Dumping Pickup,1028
2020-10,MISSION,Metal/Household Appliances,802
2020-10,MISSION,Multiple Streetlight Issue,51
2020-10,MISSION,Single Streetlight Issue,47
2020-10,NEWTON,Bulky Items,2008
2020-10,NEWTON,Dead Animal Removal,126
2020-10,NEWTON,Electronic Waste,121
2020-10,NEWTON,Graffiti Removal,7806
2020-10,NEWTON,Homeless Encampment,236
2020-10,NEWTON,Illegal Dumping Pickup,960
2020-10,NEWTON,Metal/Household Appliances,348
2020-10,NEWTON,Multiple Streetlight Issue,80
2020-10,NEWTON,Single Streetlight Issue,77
2020-10,NORTH HOLLYWOOD,Bulky Items,3878
2020-10,NORTH HOLLYWOOD,Dead Animal Removal,97
2020-10,NORTH HOLLYWOOD,Electronic Waste,202
2020-10,NORTH HOLLYWOOD,Graffiti Removal,1370
2020-10,NORTH HOLLYWOOD,Homeless Encampment,186
2020-10,NORTH HOLLYWOOD,Illegal Dumping Pickup,523
2020-10,NORTH HOLLYWOOD,Metal/Household Appliances,596
2020-10,NORTH HOLLYWOOD,Multiple Streetlight Issue,28
2020-10,NORTH HOLLYWOOD,Single Streetlight Issue,40
2020-10,NORTHEAST,Bulky Items,4302
2020-10,NORTHEAST,Dead Animal Removal,184
2020-10,NORTHEAST,Electronic Waste,280
2020-10,NORTHEAST,Graffiti Removal,1772
2020-10,NORTHEAST,Homeless Encampment,143
2020-10,NORTHEAST,Illegal Dumping Pickup,387
2020-10,NORTHEAST,Metal/Household Appliances,844
2020-10,NORTHEAST,Multiple Streetlight Issue,20
2020-10,NORTHEAST,Single Streetlight Issue,29
2020-10,OLYMPIC,Bulky Items,2690
2020-10,OLYMPIC,Dead Animal Removal,68
2020-10,OLYMPIC,Electronic Waste,131
2020-10,OLYMPIC,Graffiti Removal,1438
2020-10,OLYMPIC,Homeless Encampment,283
2020-10,OLYMPIC,Illegal Dumping Pickup,479
2020-10,OLYMPIC,Metal/Household Appliances,414
2020-10,OLYMPIC,Multiple Streetlight Issue,17
2020-10,OLYMPIC,Single Streetlight Issue,28
2020-10,PACIFIC,Bulky Items,3220
2020-10,PACIFIC,Dead Animal Removal,109
2020-10,PACIFIC,Electronic Waste,185
2020-10,PACIFIC,Graffiti Removal,868
2020-10,PACIFIC,Homeless Encampment,530
2020-10,PACIFIC,Illegal Dumping Pickup,359
2020-10,PACIFIC,Metal/Household Appliances,647
2020-10,PACIFIC,Multiple Streetlight Issue,7
2020-10,PACIFIC,Single Streetlight Issue,19
2020-10,RAMPART,Bulky Items,2102
2020-10,RAMPART,Dead Animal Removal,37
2020-10,RAMPART,Electronic Waste,78
2020-10,RAMPART,Graffiti Removal,2233
2020-10,RAMPART,Homeless Encampment,235
2020-10,RAMPART,Illegal Dumping Pickup,487
2020-10,RAMPART,Metal/Household Appliances,357
2020-10,RAMPART,Multiple Streetlight Issue,18
2020-10,RAMPART,Single Streetlight Issue,36
2020-10,SOUTHEAST,Bulky Items,2576
2020-10,SOUTHEAST,Dead Animal Removal,113
2020-10,SOUTHEAST,Electronic Waste,143
2020-10,SOUTHEAST,Graffiti Removal,2064
2020-10,SOUTHEAST,Homeless Encampment,105
2020-10,SOUTHEAST,Illegal Dumping Pickup,942
2020-10,SOUTHEAST,Metal/Household Appliances,530
2020-10,SOUTHEAST,Multiple Streetlight Issue,18
2020-10,SOUTHEAST,Single Streetlight Issue,28
2020-10,SOUTHWEST,Bulky Items,3547
2020-10,SOUTHWEST,Dead Animal Removal,121
2020-10,SOUTHWEST,Electronic Waste,245
2020-10,SOUTHWEST,Graffiti Removal,964
2020-10,SOUTHWEST,Homeless Encampment,109
2020-10,SOUTHWEST,Illegal Dumping Pickup,960
2020-10,SOUTHWEST,Metal/Household Appliances,601
2020-10,SOUTHWEST,Multiple Streetlight Issue,15
2020-10,SOUTHWEST,Single Streetlight Issue,33
2020-10,TOPANGA,Bulky Items,3374
2020-10,TOPANGA,Dead Animal Removal,130
2020-10,TOPANGA,Electronic Waste,222
2020-10,TOPANGA,Graffiti Removal,350
2020-10,TOPANGA,Homeless Encampment,253
2020-10,TOPANGA,Illegal Dumping Pickup,336
2020-10,TOPANGA,Metal/Household Appliances,716
2020-10,TOPANGA,Multiple Streetlight Issue,81
2020-10,TOPANGA,Single Streetlight Issue,56
2020-10,VAN NUYS,Bulky Items,3175
2020-10,VAN NUYS,Dead Animal Removal,96
2020-10,VAN NUYS,Electronic Waste,166
2020-10,VAN NUYS,Graffiti Removal,715
2020-10,VAN NUYS,Homeless Encampment,175
2020-10,VAN NUYS,Illegal Dumping Pickup,421
2020-10,VAN NUYS,Metal/Household Appliances,435
2020-10,VAN NUYS,Multiple Streetlight Issue,16
2020-10,VAN NUYS,Single Streetlight Issue,25
2020-10,WEST LOS ANGELES,Bulky Items,2827
2020-10,WEST LOS ANGELES,Dead Animal Removal,99
2020-10,WEST LOS ANGELES,Electronic Waste,168
2020-10,WEST LOS ANGELES,Graffiti Removal,357
2020-10,WEST LOS ANGELES,Homeless Encampment,168
2020-10,WEST LOS ANGELES,Illegal Dumping Pickup,341
2020-10,WEST LOS ANGELES,Metal/Household Appliances,642
2020-10,WEST LOS ANGELES,Multiple Streetlight Issue,31
2020-10,WEST LOS ANGELES,Single Streetlight Issue,68
2020-10,WEST VALLEY,Bulky Items,3231
2020-10,WEST VALLEY,Dead Animal Removal,150
2020-10,WEST VALLEY,Electronic Waste,199
2020-10,WEST VALLEY,Graffiti Removal,855
2020-10,WEST VALLEY,Homeless Encampment,118
2020-10,WEST VALLEY,Illegal Dumping Pickup,685
2020-10,WEST VALLEY,Metal/Household Appliances,601
2020-10,WEST VALLEY,Multiple Streetlight Issue,26
2020-10,WEST VALLEY,Single Streetlight Issue,42
2020-10,WILSHIRE,Bulky Items,2772
2020-10,WILSHIRE,Dead Animal Removal,74
2020-10,WILSHIRE,Electronic Waste,157
2020-10,WILSHIRE,Graffiti Removal,671
2020-10,WILSHIRE,Homeless Encampment,281
2020-10,WILSHIRE,Illegal Dumping Pickup,403
2020-10,WILSHIRE,Metal/Household Appliances,524
2020-10,WILSHIRE,Multiple Streetlight Issue,57
2020-10,WILSHIRE,Single Streetlight Issue,39
2020-11,77TH STREET,Bulky Items,3298
2020-11,77TH STREET,Dead Animal Removal,144
2020-11,77TH STREET,Electronic Waste,223
2020-11,77TH STREET,Graffiti Removal,2192
2020-11,77TH STREET,Homeless Encampment,84
2020-11,77TH STREET,Illegal Dumping Pickup,929
2020-11,77TH STREET,Metal/Household Appliances,560
2020-11,77TH STREET,Multiple Streetlight Issue,38
2020-11,77TH STREET,Single Streetlight Issue,36
2020-11,CENTRAL,Bulky Items,321
2020-11,CENTRAL,Dead Animal Removal,14
2020-11,CENTRAL,Electronic Waste,24
2020-11,CENTRAL,Graffiti Removal,1024
2020-11,CENTRAL,Homeless Encampment,117
2020-11,CENTRAL,Illegal Dumping Pickup,159
2020-11,CENTRAL,Metal/Household Appliances,54
2020-11,CENTRAL,Multiple Streetlight Issue,20
2020-11,CENTRAL,Single Streetlight Issue,50
2020-11,DEVONSHIRE,Bulky Items,3849
2020-11,DEVONSHIRE,Dead Animal Removal,132
2020-11,DEVONSHIRE,Electronic Waste,273
2020-11,DEVONSHIRE,Graffiti Removal,767
2020-11,DEVONSHIRE,Homeless Encampment,153
2020-11,DEVONSHIRE,Illegal Dumping Pickup,359
2020-11,DEVONSHIRE,Metal/Household Appliances,917
2020-11,DEVONSHIRE,Multiple Streetlight Issue,98
2020-11,DEVONSHIRE,Single Streetlight Issue,65
2020-11,FOOTHILL,Bulky Items,2819
2020-11,FOOTHILL,Dead Animal Removal,116
2020-11,FOOTHILL,Electronic Waste,211
2020-11,FOOTHILL,Graffiti Removal,886
2020-11,FOOTHILL,Homeless Encampment,222
2020-11,FOOTHILL,Illegal Dumping Pickup,607
2020-11,FOOTHILL,Metal/Household Appliances,505
2020-11,FOOTHILL,Multiple Streetlight Issue,39
2020-11,FOOTHILL,Single Streetlight Issue,19
2020-11,HARBOR,Bulky Items,2678
2020-11,HARBOR,Dead Animal Removal,94
2020-11,HARBOR,Electronic Waste,181
2020-11,HARBOR,Graffiti Removal,1219
2020-11,HARBOR,Homeless Encampment,80
2020-11,HARBOR,Illegal Dumping Pickup,301
2020-11,HARBOR,Metal/Household Appliances,611
2020-11,HARBOR,Multiple Streetlight Issue,7
2020-11,HARBOR,Single Streetlight Issue,16
2020-11,HOLLENBECK,Bulky Items,2491
2020-11,HOLLENBECK,Dead Animal Removal,91
2020-11,HOLLENBECK,Electronic Waste,154
2020-11,HOLLENBECK,Graffiti Removal,1522
2020-11,HOLLENBECK,Homeless Encampment,106
2020-11,HOLLENBECK,Illegal Dumping Pickup,418
2020-11,HOLLENBECK,Metal/Household Appliances,367
2020-11,HOLLENBECK,Multiple Streetlight Issue,24
2020-11,HOLLENBECK,Single Streetlight Issue,34
2020-11,HOLLYWOOD,Bulky Items,1727
2020-11,HOLLYWOOD,Dead Animal Removal,28
2020-11,HOLLYWOOD,Electronic Waste,104
2020-11,HOLLYWOOD,Graffiti Removal,1086
2020-11,HOLLYWOOD,Homeless Encampment,199
2020-11,HOLLYWOOD,Illegal Dumping Pickup,273
2020-11,HOLLYWOOD,Metal/Household Appliances,333
2020-11,HOLLYWOOD,Multiple Streetlight Issue,16
2020-11,HOLLYWOOD,Single Streetlight Issue,41
2020-11,MISSION,Bulky Items,3318
2020-11,MISSION,Dead Animal Removal,112
2020-11,MISSION,Electronic Waste,260
2020-11,MISSION,Graffiti Removal,1381
2020-11,MISSION,Homeless Encampment,219
2020-11,MISSION,Illegal Dumping Pickup,705
2020-11,MISSION,Metal/Household Appliances,605
2020-11,MISSION,Multiple Streetlight Issue,56
2020-11,MISSION,Single Streetlight Issue,42
2020-11,NEWTON,Bulky Items,1927
2020-11,NEWTON,Dead Animal Removal,91
2020-11,NEWTON,Electronic Waste,127
2020-11,NEWTON,Graffiti Removal,5445
2020-11,NEWTON,Homeless Encampment,172
2020-11,NEWTON,Illegal Dumping Pickup,700
2020-11,NEWTON,Metal/Household Appliances,352
2020-11,NEWTON,Multiple Streetlight Issue,122
2020-11,NEWTON,Single Streetlight Issue,90
2020-11,NORTH HOLLYWOOD,Bulky Items,3443
2020-11,NORTH HOLLYWOOD,Dead Animal Removal,106
2020-11,NORTH HOLLYWOOD,Electronic Waste,226
2020-11,NORTH HOLLYWOOD,Graffiti Removal,1248
2020-11,NORTH HOLLYWOOD,Homeless Encampment,206
2020-11,NORTH HOLLYWOOD,Illegal Dumping Pickup,422
2020-11,NORTH HOLLYWOOD,Metal/Household Appliances,576
2020-11,NORTH HOLLYWOOD,Multiple Streetlight Issue,72
2020-11,NORTH HOLLYWOOD,Single Streetlight Issue,52
2020-11,NORTHEAST,Bulky Items,3925
2020-11,NORTHEAST,Dead Animal Removal,97
2020-11,NORTHEAST,Electronic Waste,273
2020-11,NORTHEAST,Graffiti Removal,1816
2020-11,NORTHEAST,Homeless Encampment,122
2020-11,NORTHEAST,Illegal Dumping Pickup,367
2020-11,NORTHEAST,Metal/Household Appliances,864
2020-11,NORTHEAST,Multiple Streetlight Issue,26
2020-11,NORTHEAST,Single Streetlight Issue,24
2020-11,OLYMPIC,Bulky Items,2329
2020-11,OLYMPIC,Dead Animal Removal,40
2020-11,OLYMPIC,Electronic Waste,115
2020-11,OLYMPIC,Graffiti Removal,1297
2020-11,OLYMPIC,Homeless Encampment,256
2020-11,OLYMPIC,Illegal Dumping Pickup,378
2020-11,OLYMPIC,Metal/Household Appliances,347
2020-11,OLYMPIC,Multiple Streetlight Issue,21
2020-11,OLYMPIC,Single Streetlight Issue,61
2020-11,PACIFIC,Bulky Items,2880
2020-11,PACIFIC,Dead Animal Removal,95
2020-11,PACIFIC,Electronic Waste,150
2020-11,PACIFIC,Graffiti Removal,821
2020-11,PACIFIC,Homeless Encampment,259
2020-11,PACIFIC,Illegal Dumping Pickup,324
2020-11,PACIFIC,Metal/Household Appliances,557
2020-11,PACIFIC,Multiple Streetlight Issue,15
2020-11,PACIFIC,Single Streetlight Issue,38
2020-11,RAMPART,Bulky Items,1801
2020-11,RAMPART,Dead Animal Removal,38
2020-11,RAMPART,Electronic Waste,88
2020-11,RAMPART,Graffiti Removal,2139
2020-11,RAMPART,Homeless Encampment,198
2020-11,RAMPART,Illegal Dumping Pickup,426
2020-11,RAMPART,Metal/Household Appliances,319
2020-11,RAMPART,Multiple Streetlight Issue,16
2020-11,RAMPART,Single Streetlight Issue,27
2020-11,SOUTHEAST,Bulky Items,2017
2020-11,SOUTHEAST,Dead Animal Removal,105
2020-11,SOUTHEAST,Electronic Waste,123
2020-11,SOUTHEAST,Graffiti Removal,1209
2020-11,SOUTHEAST,Homeless Encampment,71
2020-11,SOUTHEAST,Illegal Dumping Pickup,621
2020-11,SOUTHEAST,Metal/Household Appliances,432
2020-11,SOUTHEAST,Multiple Streetlight Issue,20
2020-11,SOUTHEAST,Single Streetlight Issue,26
2020-11,SOUTHWEST,Bulky Items,3216
2020-11,SOUTHWEST,Dead Animal Removal,89
2020-11,SOUTHWEST,Electronic Waste,234
2020-11,SOUTHWEST,Graffiti Removal,746
2020-11,SOUTHWEST,Homeless Encampment,91
2020-11,SOUTHWEST,Illegal Dumping Pickup,870
2020-11,SOUTHWEST,Metal/Household Appliances,564
2020-11,SOUTHWEST,Multiple Streetlight Issue,27
2020-11,SOUTHWEST,Single Streetlight Issue,43
2020-11,TOPANGA,Bulky Items,2968
2020-11,TOPANGA,Dead Animal Removal,131
2020-11,TOPANGA,Electronic Waste,189
2020-11,TOPANGA,Graffiti Removal,390
2020-11,TOPANGA,Homeless Encampment,136
2020-11,TOPANGA,Illegal Dumping Pickup,295
2020-11,TOPANGA,Metal/Household Appliances,673
2020-11,TOPANGA,Multiple Streetlight Issue,153
2020-11,TOPANGA,Single Streetlight Issue,68
2020-11,VAN NUYS,Bulky Items,2832
2020-11,VAN NUYS,Dead Animal Removal,97
2020-11,VAN NUYS,Electronic Waste,147
2020-11,VAN NUYS,Graffiti Removal,735
2020-11,VAN NUYS,Homeless Encampment,123
2020-11,VAN NUYS,Illegal Dumping Pickup,294
2020-11,VAN NUYS,Metal/Household Appliances,422
2020-11,VAN NUYS,Multiple Streetlight Issue,20
2020-11,VAN NUYS,Single Streetlight Issue,15
2020-11,WEST LOS ANGELES,Bulky Items,2573
2020-11,WEST LOS ANGELES,Dead Animal Removal,80
2020-11,WEST LOS ANGELES,Electronic Waste,166
2020-11,WEST LOS ANGELES,Graffiti Removal,374
2020-11,WEST LOS ANGELES,Homeless Encampment,132
2020-11,WEST LOS ANGELES,Illegal Dumping Pickup,195
2020-11,WEST LOS ANGELES,Metal/Household Appliances,503
2020-11,WEST LOS ANGELES,Multiple Streetlight Issue,21
2020-11,WEST LOS ANGELES,Single Streetlight Issue,55
2020-11,WEST VALLEY,Bulky Items,3028
2020-11,WEST VALLEY,Dead Animal Removal,103
2020-11,WEST VALLEY,Electronic Waste,220
2020-11,WEST VALLEY,Graffiti Removal,1063
2020-11,WEST VALLEY,Homeless Encampment,99
2020-11,WEST VALLEY,Illegal Dumping Pickup,527
2020-11,WEST VALLEY,Metal/Household Appliances,586
2020-11,WEST VALLEY,Multiple Streetlight Issue,15
2020-11,WEST VALLEY,Single Streetlight Issue,34
2020-11,WILSHIRE,Bulky Items,2494
2020-11,WILSHIRE,Dead Animal Removal,60
2020-11,WILSHIRE,Electronic Waste,163
2020-11,WILSHIRE,Graffiti Removal,625
2020-11,WILSHIRE,Homeless Encampment,177
2020-11,WILSHIRE,Illegal Dumping Pickup,343
2020-11,WILSHIRE,Metal/Household Appliances,475
2020-11,WILSHIRE,Multiple Streetlight Issue,36
2020-11,WILSHIRE,Single Streetlight Issue,56
2020-12,77TH STREET,Bulky Items,3513
2020-12,77TH STREET,Dead Animal Removal,110
2020-12,77TH STREET,Electronic Waste,248
2020-12,77TH STREET,Graffiti Removal,2682
2020-12,77TH STREET,Homeless Encampment,111
2020-12,77TH STREET,Illegal Dumping Pickup,900
2020-12,77TH STREET,Metal/Household Appliances,577
2020-12,77TH STREET,Multiple Streetlight Issue,30
2020-12,77TH STREET,Single Streetlight Issue,24
2020-12,CENTRAL,Bulky Items,349
2020-12,CENTRAL,Dead Animal Removal,16
2020-12,CENTRAL,Electronic Waste,18
2020-12,CENTRAL,Graffiti Removal,1598
2020-12,CENTRAL,Homeless Encampment,86
2020-12,CENTRAL,Illegal Dumping Pickup,133
2020-12,CENTRAL,Metal/Household Appliances,44
2020-12,CENTRAL,Multiple Streetlight Issue,25
2020-12,CENTRAL,Single Streetlight Issue,139
2020-12,DEVONSHIRE,Bulky Items,3887
2020-12,DEVONSHIRE,Dead Animal Removal,126
2020-12,DEVONSHIRE,Electronic Waste,298
2020-12,DEVONSHIRE,Graffiti Removal,578
2020-12,DEVONSHIRE,Homeless Encampment,169
2020-12,DEVONSHIRE,Illegal Dumping Pickup,331
2020-12,DEVONSHIRE,Metal/Household Appliances,850
2020-12,DEVONSHIRE,Multiple Streetlight Issue,133
2020-12,DEVONSHIRE,Single Streetlight Issue,94
2020-12,FOOTHILL,Bulky Items,3236
2020-12,FOOTHILL,Dead Animal Removal,98
2020-12,FOOTHILL,Electronic Waste,252
2020-12,FOOTHILL,Graffiti Removal,881
2020-12,FOOTHILL,Homeless Encampment,192
2020-12,FOOTHILL,Illegal Dumping Pickup,576
2020-12,FOOTHILL,Metal/Household Appliances,554
2020-12,FOOTHILL,Multiple Streetlight Issue,42
2020-12,FOOTHILL,Single Streetlight Issue,25
2020-12,HARBOR,Bulky Items,2861
2020-12,HARBOR,Dead Animal Removal,102
2020-12,HARBOR,Electronic Waste,247
2020-12,HARBOR,Graffiti Removal,1821
2020-12,HARBOR,Homeless Encampment,101
2020-12,HARBOR,Illegal Dumping Pickup,342
2020-12,HARBOR,Metal/Household Appliances,676
2020-12,HARBOR,Multiple Streetlight Issue,15
2020-12,HARBOR,Single Streetlight Issue,20
2020-12,HOLLENBECK,Bulky Items,2383
2020-12,HOLLENBECK,Dead Animal Removal,74
2020-12,HOLLENBECK,Electronic Waste,158
2020-12,HOLLENBECK,Graffiti Removal,3050
2020-12,HOLLENBECK,Homeless Encampment,111
2020-12,HOLLENBECK,Illegal Dumping Pickup,387
2020-12,HOLLENBECK,Metal/Household Appliances,347
2020-12,HOLLENBECK,Multiple Streetlight Issue,24
2020-12,HOLLENBECK,Single Streetlight Issue,21
2020-12,HOLLYWOOD,Bulky Items,1860
2020-12,HOLLYWOOD,Dead Animal Removal,44
2020-12,HOLLYWOOD,Electronic Waste,117
2020-12,HOLLYWOOD,Graffiti Removal,1093
2020-12,HOLLYWOOD,Homeless Encampment,237
2020-12,HOLLYWOOD,Illegal Dumping Pickup,312
2020-12,HOLLYWOOD,Metal/Household Appliances,303
2020-12,HOLLYWOOD,Multiple Streetlight Issue,17
2020-12,HOLLYWOOD,Single Streetlight Issue,40
2020-12,MISSION,Bulky Items,3772
2020-12,MISSION,Dead Animal Removal,111
2020-12,MISSION,Electronic Waste,298
2020-12,MISSION,Graffiti Removal,1431
2020-12,MISSION,Homeless Encampment,193
2020-12,MISSION,Illegal Dumping Pickup,790
2020-12,MISSION,Metal/Household Appliances,688
2020-12,MISSION,Multiple Streetlight Issue,62
2020-12,MISSION,Single Streetlight Issue,38
2020-12,NEWTON,Bulky Items,1864
2020-12,NEWTON,Dead Animal Removal,75
2020-12,NEWTON,Electronic Waste,118
2020-12,NEWTON,Graffiti Removal,6782
2020-12,NEWTON,Homeless Encampment,139
2020-12,NEWTON,Illegal Dumping Pickup,626
2020-12,NEWTON,Metal/Household Appliances,345
2020-12,NEWTON,Multiple Streetlight Issue,85
2020-12,NEWTON,Single Streetlight Issue,75
2020-12,NORTH HOLLYWOOD,Bulky Items,3491
2020-12,NORTH HOLLYWOOD,Dead Animal Removal,104
2020-12,NORTH HOLLYWOOD,Electronic Waste,221
2020-12,NORTH HOLLYWOOD,Graffiti Removal,1024
2020-12,NORTH HOLLYWOOD,Homeless Encampment,162
2020-12,NORTH HOLLYWOOD,Illegal Dumping Pickup,390
2020-12,NORTH HOLLYWOOD,Metal/Household Appliances,568
2020-12,NORTH HOLLYWOOD,Multiple Streetlight Issue,33
2020-12,NORTH HOLLYWOOD,Single Streetlight Issue,45
2020-12,NORTHEAST,Bulky Items,4047
2020-12,NORTHEAST,Dead Animal Removal,104
2020-12,NORTHEAST,Electronic Waste,295
2020-12,NORTHEAST,Graffiti Removal,2019
2020-12,NORTHEAST,Homeless Encampment,150
2020-12,NORTHEAST,Illegal Dumping Pickup,364
2020-12,NORTHEAST,Metal/Household Appliances,795
2020-12,NORTHEAST,Multiple Streetlight Issue,26
2020-12,NORTHEAST,Single Streetlight Issue,42
2020-12,OLYMPIC,Bulky Items,2361
2020-12,OLYMPIC,Dead Animal Removal,57
2020-12,OLYMPIC,Electronic Waste,124
2020-12,OLYMPIC,Graffiti Removal,1306
2020-12,OLYMPIC,Homeless Encampment,238
2020-12,OLYMPIC,Illegal Dumping Pickup,367
2020-12,OLYMPIC,Metal/Household Appliances,373
2020-12,OLYMPIC,Multiple Streetlight Issue,34
2020-12,OLYMPIC,Single Streetlight Issue,48
2020-12,PACIFIC,Bulky Items,2920
2020-12,PACIFIC,Dead Animal Removal,79
2020-12,PACIFIC,Electronic Waste,173
2020-12,PACIFIC,Graffiti Removal,885
2020-12,PACIFIC,Homeless Encampment,223
2020-12,PACIFIC,Illegal Dumping Pickup,267
2020-12,PACIFIC,Metal/Household Appliances,563
2020-12,PACIFIC,Multiple Streetlight Issue,22
2020-12,PACIFIC,Single Streetlight Issue,21
2020-12,RAMPART,Bulky Items,1930
2020-12,RAMPART,Dead Animal Removal,41
